"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"61",2018-12-09 15:00:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",2018-12-09 14:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",2018-12-09 13:00:00,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"64",2018-12-09 12:00:00,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2018-12-09 11:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",2018-12-09 10:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",2018-12-09 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",2018-12-09 08:00:00,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2018-12-09 07:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",2018-12-09 06:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",2018-12-09 05:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",2018-12-09 04:00:00,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"73",2018-12-09 03:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",2018-12-09 02:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",2018-12-09 01:00:00,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"76",2018-12-09 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",2018-12-08 23:00:00,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2018-12-08 22:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2018-12-08 21:00:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2018-12-08 20:00:00,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"81",2018-12-08 19:00:00,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"82",2018-12-08 18:00:00,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"83",2018-12-08 17:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",2018-12-08 16:00:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",2018-12-08 15:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2018-12-08 14:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2018-12-08 13:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2018-12-08 12:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2018-12-08 11:00:00,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"90",2018-12-08 10:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",2018-12-08 09:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2018-12-08 08:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2018-12-08 07:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"94",2018-12-08 06:00:00,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"95",2018-12-08 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",2018-12-08 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2018-12-08 03:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",2018-12-08 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",2018-12-08 01:00:00,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2018-12-08 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2018-12-07 23:00:00,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"102",2018-12-07 22:00:00,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"103",2018-12-07 21:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2018-12-07 20:00:00,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",2018-12-07 19:00:00,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"106",2018-12-07 18:00:00,9,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"107",2018-12-07 17:00:00,4,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"108",2018-12-07 16:00:00,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"109",2018-12-07 15:00:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",2018-12-07 14:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",2018-12-07 13:00:00,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",2018-12-07 12:00:00,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"113",2018-12-07 11:00:00,7,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"114",2018-12-07 10:00:00,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"115",2018-12-07 09:00:00,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"116",2018-12-07 08:00:00,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"117",2018-12-07 07:00:00,6,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"118",2018-12-07 06:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",2018-12-07 05:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",2018-12-07 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",2018-12-07 03:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2018-12-07 02:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2018-12-07 01:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",2018-12-07 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2018-12-06 23:00:00,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"126",2018-12-06 22:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",2018-12-06 21:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",2018-12-06 20:00:00,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"129",2018-12-06 19:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",2018-12-06 18:00:00,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",2018-12-06 17:00:00,8,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"132",2018-12-06 16:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",2018-12-06 15:00:00,8,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"134",2018-12-06 14:00:00,3,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"135",2018-12-06 13:00:00,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"136",2018-12-06 12:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2018-12-06 11:00:00,6,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
"138",2018-12-06 10:00:00,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"139",2018-12-06 09:00:00,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"140",2018-12-06 08:00:00,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"141",2018-12-06 07:00:00,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"142",2018-12-06 06:00:00,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"143",2018-12-06 05:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",2018-12-06 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",2018-12-06 03:00:00,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"146",2018-12-06 02:00:00,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
