"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"61",2018-10-03 01:00:00,88,14,7,1,0,14,0,0,0,0,0,0,5,2,0,0,0,3
"62",2018-10-02 01:00:00,99,23,9,5,0,17,0,1,0,0,0,0,5,4,0,0,0,2
"63",2018-10-01 01:00:00,40,11,4,0,0,9,2,0,0,0,0,0,2,2,0,0,0,1
"64",2018-09-30 01:00:00,59,7,3,3,0,7,1,0,1,0,2,0,0,3,0,0,0,2
"65",2018-09-29 01:00:00,100,25,4,9,0,5,1,2,0,0,3,0,2,9,0,0,1,2
"66",2018-09-28 01:00:00,95,22,2,5,0,5,0,1,1,0,0,0,4,2,0,0,0,0
"67",2018-09-27 01:00:00,91,23,6,5,0,19,1,1,1,0,1,0,6,2,0,0,1,2
"68",2018-09-26 01:00:00,94,17,6,2,0,15,1,1,0,0,3,0,6,3,0,0,0,1
"69",2018-09-25 01:00:00,83,17,8,4,0,13,1,0,4,0,3,0,8,5,0,0,0,2
"70",2018-09-24 01:00:00,45,10,1,0,0,7,0,1,0,0,0,0,4,1,0,0,0,2
"71",2018-09-23 01:00:00,53,13,4,0,0,5,1,0,0,0,0,0,4,0,0,0,0,2
"72",2018-09-22 01:00:00,91,24,6,3,0,25,2,3,0,0,0,0,7,3,0,1,0,1
"73",2018-09-21 01:00:00,105,13,5,11,0,11,0,0,2,0,3,0,2,5,0,0,0,1
"74",2018-09-20 01:00:00,87,18,5,3,0,10,0,1,1,0,1,0,2,4,0,0,0,0
"75",2018-09-19 01:00:00,85,27,12,5,0,10,0,2,1,0,0,0,3,2,0,0,0,6
"76",2018-09-18 01:00:00,72,27,9,6,0,4,0,0,1,0,0,0,1,1,0,0,0,5
"77",2018-09-17 01:00:00,54,18,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"78",2018-09-16 01:00:00,48,7,5,3,0,2,0,0,0,0,1,0,1,1,0,0,0,0
"79",2018-09-15 01:00:00,80,25,6,3,0,5,0,1,0,0,1,0,2,4,0,0,0,3
"80",2018-09-14 01:00:00,100,32,7,7,0,4,0,2,1,0,0,0,2,3,0,0,0,2
"81",2018-09-13 01:00:00,75,27,5,8,0,6,0,2,1,0,1,0,5,6,0,0,0,4
"82",2018-09-12 01:00:00,71,21,5,2,0,5,0,1,2,0,0,0,4,1,0,0,0,5
"83",2018-09-11 01:00:00,86,30,4,3,0,4,0,2,3,0,0,0,5,5,0,0,0,4
"84",2018-09-10 01:00:00,47,20,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
"85",2018-09-09 01:00:00,45,11,2,2,0,1,0,0,3,0,1,0,1,3,0,0,0,0
"86",2018-09-08 01:00:00,89,11,6,3,0,5,1,3,0,0,0,0,5,4,0,0,0,1
"87",2018-09-07 01:00:00,97,21,5,2,0,5,1,1,2,0,0,0,2,0,0,0,0,0
