"","Date","high","low","open","close"
"1",2018-09-28 00:00:00,6714.72,6686,6686.13,6704.81
"2",2018-09-28 01:00:00,6715.9,6693.59,6704.81,6714.54
"3",2018-09-28 02:00:00,6726.88,6701.29,6714.82,6701.29
"4",2018-09-28 03:00:00,6703.96,6686.46,6701.29,6700.17
"5",2018-09-28 04:00:00,6717.25,6687.34,6700.2,6712.22
"6",2018-09-28 05:00:00,6714.45,6703.92,6712.27,6713.57
"7",2018-09-28 06:00:00,6776.77,6712.69,6713.57,6737.31
"8",2018-09-28 07:00:00,6806.1,6737.31,6737.31,6777.81
"9",2018-09-28 08:00:00,6782.15,6729.77,6777.81,6732.29
"10",2018-09-28 09:00:00,6735.15,6593.96,6732.29,6656.71
"11",2018-09-28 10:00:00,6665.89,6632.43,6656.98,6652.12
"12",2018-09-28 11:00:00,6667.02,6643.59,6652.12,6658.52
"13",2018-09-28 12:00:00,6661.84,6589.31,6658.57,6603.07
"14",2018-09-28 13:00:00,6661.17,6582.62,6603.07,6651.67
"15",2018-09-28 14:00:00,6689.43,6635.08,6651.67,6658.17
"16",2018-09-28 15:00:00,6681.76,6641.19,6658.12,6664.41
"17",2018-09-28 16:00:00,6664.98,6639.92,6664.13,6657.99
"18",2018-09-28 17:00:00,6673.7,6654.96,6658.07,6655.15
"19",2018-09-28 18:00:00,6658.21,6644.14,6655.21,6652.08
"20",2018-09-28 19:00:00,6696.29,6545.41,6652.3,6683.24
"21",2018-09-28 20:00:00,6684.05,6635.38,6683.24,6657.28
"22",2018-09-28 21:00:00,6663.73,6632.11,6657.28,6649.28
"23",2018-09-28 22:00:00,6657.44,6629.4,6648.74,6634.92
"24",2018-09-28 23:00:00,6646.87,6629.82,6634.92,6635.38
"25",2018-09-29 00:00:00,6635.42,6599.78,6635.4,6626.49
"26",2018-09-29 01:00:00,6626.49,6484.15,6626.49,6487.69
"27",2018-09-29 02:00:00,6528.42,6484.49,6487.69,6513.54
"28",2018-09-29 03:00:00,6520.17,6491.67,6513.54,6504.66
"29",2018-09-29 04:00:00,6514.24,6483.72,6504.66,6507.46
"30",2018-09-29 05:00:00,6514.86,6497.78,6507.46,6502.22
"31",2018-09-29 06:00:00,6517.16,6474.23,6502.22,6516.59
"32",2018-09-29 07:00:00,6540.89,6510.43,6516.58,6540.89
"33",2018-09-29 08:00:00,6555.97,6534.72,6540.89,6539.17
"34",2018-09-29 09:00:00,6587.88,6539.17,6539.17,6548.16
"35",2018-09-29 10:00:00,6571.8,6548.16,6548.16,6559.95
"36",2018-09-29 11:00:00,6618.93,6553.82,6561.27,6592.88
"37",2018-09-29 12:00:00,6599.91,6571.32,6592.88,6581.53
"38",2018-09-29 13:00:00,6591.05,6565.95,6581.68,6569.95
"39",2018-09-29 14:00:00,6574.67,6545.09,6570.1,6558.65
"40",2018-09-29 15:00:00,6604.13,6559.25,6559.25,6595.22
"41",2018-09-29 16:00:00,6596.13,6556.81,6595.22,6557.36
"42",2018-09-29 17:00:00,6596.4,6557.05,6557.16,6594.24
"43",2018-09-29 18:00:00,6603.17,6582.38,6594.38,6584.34
"44",2018-09-29 19:00:00,6600.81,6579.39,6584.34,6593.83
"45",2018-09-29 20:00:00,6615.44,6587.64,6593.83,6601.13
"46",2018-09-29 21:00:00,6601.91,6587.41,6601.13,6595.82
"47",2018-09-29 22:00:00,6613.73,6594.97,6595.82,6609.11
"48",2018-09-29 23:00:00,6631.15,6588.95,6609.11,6603.75
"49",2018-09-30 00:00:00,6604.02,6569.85,6603.75,6582.44
"50",2018-09-30 01:00:00,6613.52,6577.93,6582.44,6600.79
"51",2018-09-30 02:00:00,6605.75,6581.55,6600.79,6584.13
"52",2018-09-30 03:00:00,6593.99,6582.03,6584.13,6590.05
"53",2018-09-30 04:00:00,6590.05,6565.47,6590.05,6571.25
"54",2018-09-30 05:00:00,6582.74,6564.02,6571.28,6577.17
"55",2018-09-30 06:00:00,6596.22,6574.4,6577.17,6595.54
"56",2018-09-30 07:00:00,6601.36,6581,6595.6,6589.88
"57",2018-09-30 08:00:00,6598.59,6588.13,6589.88,6595.57
"58",2018-09-30 09:00:00,6606.21,6572.19,6595.56,6582.17
"59",2018-09-30 10:00:00,6656.82,6579.63,6582.17,6650.24
"60",2018-09-30 11:00:00,6660.53,6624.24,6650.24,6634.59
"61",2018-09-30 12:00:00,6642.93,6622.54,6634.61,6634.6
"62",2018-09-30 13:00:00,6641.96,6628.97,6634.6,6641.2
"63",2018-09-30 14:00:00,6654.38,6626.28,6641.2,6652.77
"64",2018-09-30 15:00:00,6653,6593.47,6652.77,6608.16
"65",2018-09-30 16:00:00,6625.31,6598.77,6608.28,6622.57
"66",2018-09-30 17:00:00,6628.76,6608.28,6622.57,6621.26
"67",2018-09-30 18:00:00,6632.38,6617.94,6621.26,6620.63
"68",2018-09-30 19:00:00,6712.04,6599.07,6620.63,6604.37
"69",2018-09-30 20:00:00,6741.96,6543.68,6604.37,6583.47
"70",2018-09-30 21:00:00,6587.32,6572.52,6583.47,6581.9
"71",2018-09-30 22:00:00,6639.19,6577.52,6582,6636.09
"72",2018-09-30 23:00:00,6641.88,6615.5,6635.91,6623.71
"73",2018-10-01 00:00:00,6651.06,6623.48,6623.82,6642.89
"74",2018-10-01 01:00:00,6662.6,6626.39,6642.89,6632.61
"75",2018-10-01 02:00:00,6640.5,6631.12,6632.61,6639.79
"76",2018-10-01 03:00:00,6652.56,6639.44,6639.79,6643.43
"77",2018-10-01 04:00:00,6655.99,6625.06,6643.43,6630.55
"78",2018-10-01 05:00:00,6631.37,6610.84,6630.55,6626.25
"79",2018-10-01 06:00:00,6635.84,6604.37,6625.58,6630.55
"80",2018-10-01 07:00:00,6631.37,6604.86,6630.56,6605.67
"81",2018-10-01 08:00:00,6625.29,6597.23,6605.67,6625.18
"82",2018-10-01 09:00:00,6626.57,6614.1,6625.18,6615.78
"83",2018-10-01 10:00:00,6619.17,6582.82,6616.03,6586.98
"84",2018-10-01 11:00:00,6601.03,6566.3,6586.92,6589.36
"85",2018-10-01 12:00:00,6609.84,6572.51,6589.36,6604.81
"86",2018-10-01 13:00:00,6611.28,6560.38,6604.83,6564.53
"87",2018-10-01 14:00:00,6572.28,6510.54,6564.53,6564.26
"88",2018-10-01 15:00:00,6568.52,6547.13,6564.26,6561.5
"89",2018-10-01 16:00:00,6593.55,6540.05,6561.6,6582.83
"90",2018-10-01 17:00:00,6587.38,6570.23,6582.82,6584.86
"91",2018-10-01 18:00:00,6598.21,6574.87,6584.76,6588.72
"92",2018-10-01 19:00:00,6588.97,6555.08,6588.71,6577.13
"93",2018-10-01 20:00:00,6584.05,6572.49,6577.13,6575.78
"94",2018-10-01 21:00:00,6622.13,6572.51,6575.89,6593.24
"95",2018-10-01 22:00:00,6595.93,6582.7,6593.24,6587.3
"96",2018-10-01 23:00:00,6597.74,6573.39,6587.3,6594.98
"97",2018-10-02 00:00:00,6599.94,6579.83,6594.98,6581.05
"98",2018-10-02 01:00:00,6618.95,6575.88,6581.05,6601.74
"99",2018-10-02 02:00:00,6603.18,6591.56,6601.74,6596.55
